age;marital;job;housing;loan;campaign;contact
36;married;blue-collar;1;0;1;unknown
59;divorced;retired;1;0;1;unknown
44;married;blue-collar;1;0;2;unknown
41;married;admin.;1;0;1;unknown
33;single;management;1;0;1;unknown
59;divorced;management;0;0;1;unknown
57;married;technician;0;0;1;unknown
56;divorced;technician;1;0;1;unknown
51;married;blue-collar;1;0;1;unknown
34;married;admin.;1;0;3;unknown
43;married;services;1;1;2;unknown
52;married;technician;0;1;1;unknown
33;single;technician;1;0;2;unknown
29;single;admin.;1;1;1;unknown
34;married;services;1;1;1;unknown
31;married;blue-collar;1;0;1;unknown
55;married;services;1;0;1;unknown
55;married;management;0;0;1;unknown
32;single;admin.;1;0;1;unknown
38;single;technician;1;0;1;unknown
55;single;admin.;1;1;2;unknown
28;single;unemployed;1;0;2;unknown
23;married;blue-collar;1;0;1;unknown
32;single;technician;1;0;1;unknown
43;single;services;0;0;1;unknown
32;married;blue-collar;1;0;1;unknown
46;married;blue-collar;1;0;1;unknown
53;divorced;housemaid;1;0;1;unknown
34;single;self-employed;1;0;1;unknown
57;married;unemployed;0;0;1;unknown
37;married;blue-collar;1;0;1;unknown
59;married;blue-collar;1;0;1;unknown
33;married;services;1;0;1;unknown
56;divorced;blue-collar;1;0;2;unknown
48;married;unemployed;1;0;1;unknown
43;married;services;1;0;2;unknown
54;married;blue-collar;1;0;2;unknown
51;married;blue-collar;1;0;2;unknown
26;single;student;1;0;2;unknown
40;married;management;1;0;1;unknown
39;married;management;1;0;1;unknown
50;married;technician;0;0;2;unknown
41;married;services;1;0;2;unknown
51;married;blue-collar;1;0;1;unknown
60;divorced;retired;1;0;1;unknown
52;married;blue-collar;1;0;3;unknown
48;married;blue-collar;1;0;2;unknown
48;married;services;1;0;1;unknown
39;single;technician;1;0;1;unknown
47;single;services;1;0;2;unknown
40;married;blue-collar;1;0;5;unknown
45;married;technician;1;0;1;unknown
26;single;admin.;1;0;1;unknown
52;married;management;1;0;1;unknown
54;married;technician;1;0;1;unknown
54;married;admin.;0;0;2;unknown
50;married;blue-collar;0;0;3;unknown
35;married;blue-collar;1;0;1;unknown
44;married;services;1;1;1;unknown
53;married;entrepreneur;1;0;1;unknown
35;single;retired;0;0;1;unknown
60;divorced;admin.;1;0;1;unknown
53;divorced;admin.;1;0;1;unknown
48;married;unemployed;1;0;2;unknown
34;married;technician;1;0;2;unknown
54;married;services;1;0;2;unknown
51;married;management;1;0;1;unknown
31;married;services;1;0;1;unknown
35;divorced;technician;1;0;2;unknown
35;married;services;1;0;1;unknown
38;married;technician;1;0;1;unknown
36;married;admin.;1;0;2;unknown
58;married;retired;1;0;1;unknown
40;divorced;services;1;0;1;unknown
54;married;management;0;0;1;unknown
34;single;blue-collar;1;1;1;unknown
31;single;management;1;0;1;unknown
51;married;retired;1;0;1;unknown
33;married;management;1;0;1;unknown
55;married;management;1;0;2;unknown
42;married;admin.;1;0;1;unknown
34;married;blue-collar;1;0;1;unknown
33;single;blue-collar;1;0;2;unknown
38;married;services;1;0;1;unknown
50;divorced;technician;0;1;1;unknown
43;married;management;1;0;1;unknown
61;divorced;blue-collar;1;0;2;unknown
47;married;admin.;1;0;1;unknown
48;married;self-employed;1;0;1;unknown
44;married;blue-collar;1;0;1;unknown
35;single;student;1;0;2;unknown
35;married;services;1;0;1;unknown
50;married;services;1;0;2;unknown
41;married;management;1;1;1;unknown
41;married;management;1;0;1;unknown
39;single;services;1;0;1;unknown
42;married;retired;1;0;1;unknown
38;married;blue-collar;1;0;1;unknown
53;married;retired;1;0;2;unknown
59;divorced;housemaid;0;0;2;unknown
36;married;services;1;0;1;unknown
54;married;blue-collar;1;0;1;unknown
40;married;technician;1;0;1;unknown
47;married;unknown;0;0;2;unknown
53;married;unemployed;0;0;3;unknown
46;married;housemaid;0;0;1;unknown
39;married;management;1;1;2;unknown
40;married;unemployed;1;0;1;unknown
28;married;blue-collar;1;0;1;unknown
35;divorced;entrepreneur;1;0;1;unknown
55;married;retired;0;1;1;unknown
43;divorced;technician;1;0;1;unknown
48;married;blue-collar;1;0;2;unknown
58;married;management;1;0;3;unknown
33;single;management;1;0;1;unknown
36;married;blue-collar;0;0;2;unknown
53;divorced;services;1;0;1;unknown
47;married;blue-collar;1;0;1;unknown
31;married;services;1;0;2;unknown
57;married;entrepreneur;1;0;2;unknown
53;married;blue-collar;0;0;1;unknown
55;married;blue-collar;1;0;1;unknown
45;married;blue-collar;1;0;1;unknown
53;divorced;admin.;1;0;2;unknown
37;married;blue-collar;1;0;1;unknown
44;divorced;admin.;1;0;1;unknown
49;divorced;blue-collar;1;1;1;unknown
46;married;technician;1;1;1;unknown
43;married;entrepreneur;1;0;1;unknown
38;married;admin.;0;0;1;unknown
43;married;technician;1;0;1;unknown
49;married;management;1;0;3;unknown
42;married;management;0;0;2;unknown
22;single;blue-collar;1;0;2;unknown
40;married;management;1;0;1;unknown
39;married;blue-collar;1;0;1;unknown
51;married;services;1;0;2;unknown
49;married;admin.;1;0;1;unknown
53;married;blue-collar;1;1;1;unknown
34;single;services;1;0;1;unknown
33;divorced;technician;1;0;1;unknown
50;single;management;1;0;1;unknown
39;married;blue-collar;1;0;1;unknown
59;divorced;entrepreneur;1;0;3;unknown
30;single;technician;1;0;2;unknown
36;married;services;1;1;1;unknown
40;married;blue-collar;1;0;2;unknown
53;married;blue-collar;1;0;2;unknown
34;single;management;1;0;2;unknown
37;married;technician;1;0;1;unknown
42;divorced;management;1;0;3;unknown
41;married;entrepreneur;1;0;1;unknown
30;single;student;1;0;2;unknown
37;single;management;1;0;1;unknown
39;divorced;admin.;1;0;2;unknown
41;married;blue-collar;1;1;2;unknown
40;married;blue-collar;1;0;1;unknown
42;single;management;1;1;2;unknown
40;divorced;blue-collar;1;0;1;unknown
57;married;technician;1;0;4;unknown
56;divorced;entrepreneur;0;0;3;unknown
37;married;admin.;1;0;2;unknown
59;married;retired;1;0;3;unknown
39;divorced;services;1;0;3;unknown
49;married;services;0;0;2;unknown
38;single;services;1;0;2;unknown
36;married;self-employed;0;0;2;unknown
50;married;blue-collar;1;0;3;unknown
41;married;admin.;1;1;2;unknown
54;married;technician;0;0;4;unknown
58;married;blue-collar;1;0;2;unknown
30;single;blue-collar;1;0;2;unknown
33;single;admin.;1;0;2;unknown
47;married;admin.;1;0;2;unknown
50;single;technician;1;0;3;unknown
32;married;blue-collar;1;0;2;unknown
40;married;self-employed;1;0;2;unknown
37;married;management;1;0;2;unknown
54;single;technician;1;0;2;unknown
24;single;student;1;0;3;unknown
54;married;management;0;0;2;unknown
34;married;technician;1;0;4;unknown
56;divorced;technician;1;0;2;unknown
31;single;blue-collar;1;0;2;unknown
24;single;student;1;0;2;unknown
42;divorced;blue-collar;1;0;3;unknown
57;married;technician;1;0;2;unknown
42;married;blue-collar;1;0;2;unknown
51;married;admin.;1;0;2;unknown
57;married;retired;1;0;2;unknown
36;single;services;1;0;2;unknown
53;married;services;1;0;2;unknown
50;married;technician;1;0;2;unknown
54;married;management;1;0;2;unknown
55;married;blue-collar;1;0;3;unknown
44;married;blue-collar;1;1;2;unknown
43;married;management;1;0;2;unknown
56;married;admin.;1;0;2;unknown
54;married;technician;1;0;2;unknown
55;divorced;services;1;1;2;unknown
37;divorced;services;1;1;2;unknown
33;single;admin.;0;0;2;unknown
46;married;admin.;1;0;2;unknown
36;married;blue-collar;1;1;2;unknown
51;single;technician;1;0;2;unknown
40;single;retired;0;0;2;unknown
42;married;blue-collar;1;0;2;unknown
51;married;blue-collar;1;0;2;unknown
49;married;blue-collar;1;0;2;unknown
48;married;management;1;0;3;unknown
32;divorced;technician;0;0;2;unknown
31;single;admin.;1;0;2;unknown
55;single;management;0;0;4;unknown
40;single;blue-collar;1;0;3;unknown
47;married;technician;1;0;3;unknown
57;married;technician;1;0;3;unknown
41;married;blue-collar;1;0;2;unknown
48;married;blue-collar;0;0;3;unknown
42;married;blue-collar;1;0;2;unknown
30;single;blue-collar;1;0;2;unknown
58;single;management;1;0;5;unknown
45;divorced;management;1;0;3;unknown
49;married;blue-collar;1;0;4;unknown
42;single;admin.;1;0;2;unknown
53;married;technician;1;1;2;unknown
51;single;admin.;0;0;3;unknown
32;single;services;1;0;2;unknown
41;single;blue-collar;1;0;3;unknown
43;divorced;management;1;0;3;unknown
40;divorced;blue-collar;1;0;2;unknown
50;married;blue-collar;1;0;2;unknown
34;married;management;1;0;4;unknown
53;married;services;0;0;2;unknown
45;married;technician;1;0;4;unknown
39;married;blue-collar;1;0;2;unknown
44;married;services;1;0;4;unknown
55;married;management;1;0;3;unknown
46;single;management;1;0;2;unknown
45;married;blue-collar;1;0;2;unknown
34;married;admin.;1;0;3;unknown
36;married;blue-collar;1;0;2;unknown
59;divorced;unknown;0;0;3;unknown
31;single;admin.;1;0;2;unknown
44;single;blue-collar;1;0;4;unknown
33;single;entrepreneur;1;0;2;unknown
40;married;blue-collar;1;0;4;unknown
46;single;admin.;1;0;2;unknown
48;married;management;1;0;2;unknown
42;married;services;1;0;2;unknown
27;married;services;1;0;3;unknown
48;married;admin.;1;1;2;unknown
59;married;admin.;1;0;3;unknown
46;married;technician;1;0;1;unknown
38;divorced;admin.;1;0;1;unknown
43;divorced;management;1;0;1;unknown
38;divorced;admin.;1;0;1;unknown
23;single;student;1;0;1;unknown
34;married;services;1;0;1;unknown
38;married;admin.;1;1;1;unknown
37;married;blue-collar;0;0;1;unknown
25;single;admin.;1;0;1;unknown
48;married;blue-collar;1;0;1;unknown
49;single;blue-collar;1;0;1;unknown
38;single;admin.;0;0;2;unknown
43;married;blue-collar;1;0;1;unknown
33;married;management;1;0;1;unknown
55;married;blue-collar;1;0;1;unknown
38;married;blue-collar;1;0;1;unknown
49;married;services;1;1;1;unknown
40;married;management;0;0;3;unknown
43;married;admin.;0;0;1;unknown
38;married;blue-collar;1;0;1;unknown
58;married;services;1;1;1;unknown
57;married;technician;1;0;1;unknown
32;married;unemployed;1;0;4;unknown
56;married;management;1;1;1;unknown
58;divorced;blue-collar;1;0;1;unknown
60;divorced;retired;1;0;1;unknown
37;married;technician;1;0;1;unknown
46;divorced;technician;1;0;1;unknown
27;married;admin.;1;0;1;unknown
43;married;blue-collar;1;0;2;unknown
32;single;technician;1;1;3;unknown
40;single;admin.;1;0;1;unknown
38;married;admin.;0;0;1;unknown
34;married;blue-collar;0;1;1;unknown
47;married;blue-collar;1;0;1;unknown
42;married;housemaid;1;0;1;unknown
48;married;technician;1;1;1;unknown
29;single;self-employed;1;0;1;unknown
50;married;services;1;0;1;unknown
52;married;technician;0;0;2;unknown
50;married;management;0;0;1;unknown
58;married;retired;0;0;1;unknown
46;divorced;blue-collar;1;0;3;unknown
38;married;technician;1;0;1;unknown
46;married;blue-collar;1;0;1;unknown
32;single;services;1;0;1;unknown
51;married;blue-collar;1;0;1;unknown
39;single;admin.;1;0;1;unknown
48;married;admin.;1;0;2;unknown
36;married;entrepreneur;1;0;2;unknown
34;divorced;admin.;1;0;1;unknown
40;married;technician;0;0;1;unknown
43;married;unemployed;1;0;1;unknown
52;divorced;blue-collar;1;1;1;unknown
33;married;technician;1;0;1;unknown
49;single;management;1;0;3;unknown
32;single;management;1;0;1;unknown
39;single;admin.;1;0;1;unknown
40;married;blue-collar;1;0;1;unknown
38;single;technician;1;0;3;unknown
43;married;management;1;0;2;unknown
39;married;services;1;0;1;unknown
54;married;blue-collar;1;0;1;unknown
38;single;technician;1;0;1;unknown
40;married;blue-collar;1;0;1;unknown
55;married;admin.;1;0;1;unknown
42;married;management;1;0;1;unknown
39;married;blue-collar;1;0;1;unknown
40;married;blue-collar;1;0;1;unknown
32;married;blue-collar;1;0;2;unknown
55;married;admin.;1;0;1;unknown
45;married;blue-collar;0;0;1;unknown
35;single;management;1;0;1;unknown
58;divorced;technician;0;0;1;unknown
35;married;admin.;1;0;1;unknown
49;married;services;1;0;1;unknown
34;single;technician;1;0;1;unknown
36;married;blue-collar;1;0;2;unknown
24;single;self-employed;1;0;1;unknown
34;married;technician;1;0;1;unknown
51;divorced;admin.;1;0;1;unknown
39;single;technician;1;0;1;unknown
50;married;self-employed;1;0;1;unknown
32;single;services;1;0;1;unknown
42;married;blue-collar;1;0;1;unknown
50;married;technician;1;0;1;unknown
40;married;services;0;0;1;unknown
46;divorced;management;1;0;1;unknown
37;married;management;1;1;2;unknown
34;married;blue-collar;1;1;1;unknown
44;married;blue-collar;1;1;1;unknown
40;single;admin.;1;1;1;unknown
37;married;technician;1;0;1;unknown
33;single;blue-collar;0;0;1;unknown
35;married;blue-collar;1;0;2;unknown
58;divorced;blue-collar;0;0;1;unknown
39;married;blue-collar;1;0;2;unknown
43;married;blue-collar;1;0;1;unknown
39;married;unemployed;1;0;1;unknown
36;single;services;1;0;1;unknown
57;single;retired;0;1;4;unknown
36;single;admin.;1;0;1;unknown
50;married;blue-collar;1;0;1;unknown
55;married;blue-collar;1;0;1;unknown
44;married;self-employed;1;0;1;unknown
44;divorced;services;1;0;1;unknown
39;single;housemaid;1;0;3;unknown
46;married;blue-collar;1;0;1;unknown
39;married;blue-collar;1;0;1;unknown
34;married;admin.;0;0;1;unknown
40;married;blue-collar;1;0;2;unknown
50;married;management;1;0;1;unknown
31;single;management;1;0;1;unknown
37;single;admin.;1;0;1;unknown
39;single;management;1;0;1;unknown
51;married;blue-collar;1;0;1;unknown
41;married;technician;1;0;1;unknown
41;married;technician;1;1;1;unknown
43;married;blue-collar;0;0;1;unknown
30;single;services;1;0;2;unknown
54;divorced;management;0;0;1;unknown
43;divorced;blue-collar;1;1;1;unknown
59;divorced;management;1;1;1;unknown
47;married;technician;1;0;1;unknown
40;married;blue-collar;1;0;1;unknown
32;married;technician;1;0;2;unknown
29;married;blue-collar;1;0;1;unknown
36;married;blue-collar;1;0;1;unknown
55;married;unemployed;0;0;1;unknown
30;divorced;blue-collar;1;0;2;unknown
39;single;admin.;1;0;2;unknown
39;divorced;blue-collar;1;0;2;unknown
50;divorced;blue-collar;1;0;1;unknown
44;married;blue-collar;1;0;2;unknown
37;single;technician;1;0;1;unknown
46;married;admin.;1;1;2;unknown
32;single;technician;0;0;1;unknown
37;single;management;1;1;1;unknown
29;married;blue-collar;1;0;1;unknown
41;married;blue-collar;1;0;1;unknown
45;married;blue-collar;1;0;2;unknown
57;divorced;retired;1;0;1;unknown
48;single;blue-collar;1;0;1;unknown
60;married;retired;0;0;1;unknown
26;single;admin.;1;0;1;unknown
58;married;retired;1;0;1;unknown
34;married;admin.;1;0;1;unknown
55;divorced;unemployed;1;0;1;unknown
41;married;blue-collar;1;1;1;unknown
50;divorced;management;1;0;1;unknown
49;married;entrepreneur;1;1;3;unknown
44;married;admin.;0;1;2;unknown
44;married;blue-collar;1;0;1;unknown
31;married;technician;1;1;1;unknown
34;single;blue-collar;1;0;1;unknown
46;single;management;1;0;1;unknown
42;married;management;0;0;1;unknown
52;married;admin.;1;0;1;unknown
29;single;management;1;0;1;unknown
53;married;retired;1;0;2;unknown
43;married;blue-collar;1;0;2;unknown
38;married;management;1;0;2;unknown
46;married;management;1;0;1;unknown
48;divorced;management;1;0;1;unknown
30;divorced;admin.;1;1;1;unknown
44;married;blue-collar;0;0;1;unknown
31;married;housemaid;1;0;3;unknown
42;single;services;1;0;1;unknown
40;single;management;1;0;1;unknown
52;married;admin.;1;0;1;unknown
45;divorced;blue-collar;1;0;2;unknown
48;married;blue-collar;1;0;1;unknown
45;married;blue-collar;1;0;2;unknown
34;married;blue-collar;1;0;1;unknown
34;married;blue-collar;1;0;2;unknown
46;married;blue-collar;1;0;1;unknown
49;divorced;services;1;0;1;unknown
50;married;technician;1;0;1;unknown
34;single;admin.;1;0;1;unknown
40;single;unemployed;1;0;1;unknown
36;married;admin.;1;0;1;unknown
59;divorced;blue-collar;1;0;1;unknown
45;married;blue-collar;1;0;1;unknown
36;married;self-employed;1;0;1;unknown
56;married;services;1;0;1;unknown
42;divorced;services;1;1;2;unknown
30;married;admin.;1;0;2;unknown
30;single;student;1;0;1;unknown
47;married;self-employed;1;0;1;unknown
33;married;blue-collar;1;0;1;unknown
36;married;admin.;1;0;2;unknown
39;divorced;services;1;0;2;unknown
56;divorced;admin.;1;0;2;unknown
39;divorced;blue-collar;1;0;2;unknown
42;married;technician;1;0;2;unknown
52;married;blue-collar;0;0;1;unknown
36;divorced;admin.;1;0;1;unknown
35;married;entrepreneur;1;0;2;unknown
47;married;technician;1;0;2;unknown
59;divorced;services;1;1;1;unknown
57;married;blue-collar;1;1;1;unknown
38;married;management;1;0;1;unknown
46;married;unemployed;1;0;1;unknown
34;married;blue-collar;0;0;1;unknown
28;single;services;1;0;3;unknown
38;married;technician;1;0;1;unknown
56;married;blue-collar;1;0;1;unknown
41;single;blue-collar;1;1;1;unknown
52;married;technician;0;0;1;unknown
54;married;services;0;0;1;unknown
61;married;retired;1;1;1;unknown
53;married;entrepreneur;0;0;1;unknown
47;married;technician;1;0;2;unknown
53;married;blue-collar;1;0;3;unknown
46;married;services;1;0;2;unknown
39;divorced;blue-collar;1;1;2;unknown
56;divorced;technician;1;0;2;unknown
55;divorced;services;1;0;2;unknown
44;married;management;1;0;2;unknown
37;married;technician;1;0;4;unknown
35;married;blue-collar;1;0;2;unknown
55;married;blue-collar;1;0;2;unknown
37;married;services;1;0;3;unknown
30;single;technician;1;0;1;unknown
37;married;blue-collar;1;1;2;unknown
36;single;technician;1;0;3;unknown
38;married;technician;1;0;1;unknown
41;divorced;admin.;1;0;2;unknown
48;married;retired;0;1;1;unknown
55;divorced;services;1;0;2;unknown
28;divorced;services;0;0;2;unknown
54;married;services;1;0;3;unknown
30;married;blue-collar;0;0;2;unknown
48;married;technician;0;0;1;unknown
31;married;self-employed;1;0;5;unknown
38;married;blue-collar;1;0;3;unknown
37;married;blue-collar;1;0;2;unknown
37;single;services;1;0;2;unknown
56;married;blue-collar;1;1;2;unknown
51;married;blue-collar;1;1;1;unknown
39;married;blue-collar;1;1;1;unknown
49;married;technician;0;0;2;unknown
51;married;blue-collar;1;1;1;unknown
43;married;self-employed;1;0;1;unknown
32;married;services;1;1;1;unknown
29;single;technician;1;0;1;unknown
48;divorced;management;1;0;1;unknown
55;married;services;1;0;1;unknown
53;married;blue-collar;1;0;1;unknown
47;married;technician;1;0;1;unknown
39;married;management;1;0;1;unknown
31;single;blue-collar;1;1;1;unknown
39;married;blue-collar;1;0;1;unknown
40;married;blue-collar;1;0;2;unknown
40;single;technician;1;0;2;unknown
48;married;technician;0;0;3;unknown
33;divorced;technician;1;1;1;unknown
40;married;technician;1;0;2;unknown
59;married;retired;1;0;1;unknown
30;married;technician;1;0;1;unknown
31;single;management;1;0;3;unknown
35;married;unemployed;1;0;1;unknown
54;divorced;technician;1;0;2;unknown
34;single;admin.;1;0;4;unknown
32;married;technician;1;1;2;unknown
56;divorced;admin.;1;0;2;unknown
32;single;admin.;1;0;3;unknown
42;married;blue-collar;1;0;1;unknown
33;married;services;0;0;3;unknown
52;married;entrepreneur;1;1;2;unknown
52;married;services;0;0;2;unknown
52;divorced;blue-collar;1;0;1;unknown
30;divorced;unemployed;1;0;1;unknown
44;divorced;services;1;0;4;unknown
35;married;admin.;1;1;2;unknown
55;single;management;1;0;2;unknown
33;married;blue-collar;1;0;2;unknown
37;single;blue-collar;1;0;1;unknown
42;single;technician;1;0;1;unknown
43;married;unemployed;1;0;2;unknown
38;married;entrepreneur;1;0;2;unknown
37;married;technician;1;1;2;unknown
31;single;student;1;0;3;unknown
41;married;management;1;0;2;unknown
41;married;technician;1;1;3;unknown
29;single;student;1;0;2;unknown
38;single;admin.;1;0;2;unknown
44;divorced;self-employed;1;0;3;unknown
39;married;admin.;1;0;1;unknown
28;single;technician;1;0;1;unknown
33;married;blue-collar;1;0;1;unknown
41;married;services;0;0;2;unknown
40;married;blue-collar;1;1;1;unknown
29;married;admin.;1;0;1;unknown
38;married;management;1;0;1;unknown
32;married;admin.;1;0;1;unknown
45;married;services;1;0;1;unknown
33;single;admin.;1;0;1;unknown
34;married;blue-collar;1;0;2;unknown
41;married;entrepreneur;1;0;2;unknown
41;married;blue-collar;1;0;3;unknown
35;single;admin.;1;0;2;unknown
40;single;technician;1;0;2;unknown
60;married;self-employed;1;0;4;unknown
47;divorced;services;1;0;2;unknown
46;married;blue-collar;1;0;3;unknown
31;single;blue-collar;1;0;2;unknown
49;married;self-employed;1;0;3;unknown
29;married;blue-collar;1;0;2;unknown
31;single;management;1;0;2;unknown
38;married;management;1;0;1;unknown
37;married;blue-collar;1;1;3;unknown
35;married;technician;1;0;2;unknown
31;single;management;1;0;1;unknown
41;married;admin.;1;0;3;unknown
46;married;services;1;0;2;unknown
40;divorced;services;1;0;2;unknown
29;married;admin.;1;1;1;unknown
49;married;admin.;1;0;1;unknown
42;married;management;1;0;3;unknown
54;married;services;1;0;2;unknown
40;single;management;1;0;2;unknown
53;married;admin.;1;1;2;unknown
49;married;management;1;0;2;unknown
40;married;blue-collar;1;0;2;unknown
29;single;student;1;0;2;unknown
36;married;blue-collar;1;0;2;unknown
37;married;technician;1;0;3;unknown
39;married;services;1;0;2;unknown
36;married;technician;1;1;2;unknown
44;married;entrepreneur;1;0;2;unknown
40;married;admin.;1;0;3;unknown
49;married;blue-collar;1;0;2;unknown
30;single;technician;1;0;2;unknown
57;married;management;1;0;3;unknown
24;single;services;1;1;2;unknown
46;married;blue-collar;1;0;2;unknown
33;married;admin.;0;0;3;unknown
43;divorced;services;1;0;2;unknown
43;single;admin.;1;0;2;unknown
40;divorced;blue-collar;0;0;2;unknown
44;single;technician;1;0;6;unknown
35;single;technician;1;1;3;unknown
47;married;technician;1;0;2;unknown
33;married;blue-collar;1;0;2;unknown
31;married;admin.;1;1;2;unknown
40;divorced;blue-collar;1;0;2;unknown
36;married;entrepreneur;1;0;3;unknown
56;divorced;retired;1;0;3;unknown
40;single;admin.;1;0;3;unknown
41;divorced;admin.;1;0;4;unknown
53;married;retired;1;0;2;unknown
39;married;blue-collar;1;0;2;unknown
44;divorced;blue-collar;1;0;2;unknown
38;married;admin.;1;0;2;unknown
54;divorced;technician;1;0;3;unknown
58;married;management;1;0;5;unknown
52;married;blue-collar;1;0;3;unknown
28;single;admin.;1;0;2;unknown
36;married;blue-collar;1;0;2;unknown
60;married;retired;1;0;2;unknown
42;divorced;services;1;0;5;unknown
42;married;admin.;1;0;3;unknown
44;married;management;1;0;2;unknown
51;divorced;blue-collar;1;0;2;unknown
49;married;blue-collar;1;0;2;unknown
47;married;entrepreneur;1;0;2;unknown
37;married;blue-collar;1;0;4;unknown
34;married;management;1;0;3;unknown
35;married;services;1;0;3;unknown
35;single;blue-collar;1;1;3;unknown
40;married;blue-collar;1;0;2;unknown
55;married;technician;0;0;3;unknown
55;married;retired;1;0;3;unknown
35;single;management;1;0;2;unknown
57;married;blue-collar;1;0;2;unknown
53;married;management;1;0;3;unknown
41;married;blue-collar;1;0;2;unknown
57;married;blue-collar;1;0;2;unknown
45;married;blue-collar;1;0;5;unknown
43;married;blue-collar;1;0;3;unknown
56;married;self-employed;0;0;2;unknown
31;married;entrepreneur;1;0;2;unknown
37;single;blue-collar;1;0;2;unknown
30;married;management;1;0;3;unknown
30;single;admin.;1;0;3;unknown
54;married;blue-collar;1;0;2;unknown
36;married;management;1;0;2;unknown
55;married;unemployed;0;0;3;unknown
37;single;admin.;1;1;2;unknown
38;married;housemaid;1;0;3;unknown
48;married;admin.;1;0;3;unknown
55;divorced;housemaid;1;0;3;unknown
59;married;services;1;1;7;unknown
37;married;technician;1;0;5;unknown
33;divorced;blue-collar;0;0;3;unknown
44;married;blue-collar;1;0;2;unknown
57;married;technician;1;0;3;unknown
30;single;self-employed;0;0;2;unknown
